,plugin,conda_downloads,pypi_downloads
0,Image-Composer,20.0,22.0
1,Image-Part-Selecter,21.0,24.0
2,Label-Creator,13.0,27.0
3,Layer-Data-Replace,21.0,18.0
4,Offset-Subtraction,22.0,17.0
5,PartSeg,550.0,1060.0
6,PartSeg-smfish,92.0,46.0
7,Partial-Aligner,18.0,17.0
8,PlatyMatch,80.0,37.0
9,RedLionfish,447.0,136.0
10,World2Data,15.0,15.0
11,affinder,38.0,45.0
12,arcos-gui,39.0,49.0
13,avidaq,50.0,65.0
14,bbii-decon,19.0,29.0
15,beetlesafari,19.0,22.0
16,bfio,,763.0
17,blik,162.0,73.0
18,brainglobe-napari-io,53.0,161.0
19,brainreg-napari,,53.0
20,brainreg-segment,42.0,151.0
21,btrack,200.0,191.0
22,cellfinder-napari,62.0,182.0
23,cellpose-napari,31.0,144.0
24,devbio-napari,665.0,170.0
25,disease-classifier,,26.0
26,elastix-napari,,58.0
27,empanada-napari,,87.0
28,faser,,51.0
29,grabber-ift,13.0,25.0
30,guanine-crystal-analysis,28.0,22.0
31,hesperos,201.0,368.0
32,iacs-ipac-reader,33.0,21.0
33,imaxt-multiscale-plugin,,124.0
34,koopa-viz,34.0,22.0
35,mikro-napari,,149.0
36,misic-napari,42.0,49.0
37,morphometrics,226.0,46.0
38,morphometrics-engine,,28.0
39,morphospaces,,
40,napari-3d-ortho-viewer,88.0,43.0
41,napari-DeepSpot,22.0,34.0
42,napari-IDS,,18.0
43,napari-IP-workflow,16.0,20.0
44,napari-ISM,48.0,26.0
45,napari-J,67.0,48.0
46,napari-LF,,18.0
47,napari-PHILOW,27.0,20.0
48,napari-PICASSO,22.0,22.0
49,napari-accelerated-pixel-and-object-classification,341.0,187.0
50,napari-affinities,,103.0
51,napari-aicsimageio,97.0,289.0
52,napari-aideveloper,,27.0
53,napari-allencell-annotator,104.0,93.0
54,napari-allencell-segmenter,82.0,138.0
55,napari-animated-gif-io,34.0,37.0
56,napari-animation,99.0,1579.0
57,napari-annotate,,100.0
58,napari-annotator,16.0,32.0
59,napari-annotatorj,39.0,29.0
60,napari-apple,,19.0
61,napari-apr-viewer,,30.0
62,napari-arboretum,58.0,35.0
63,napari-assistant,494.0,1233.0
64,napari-assistant-plugin-generator,,90.0
65,napari-bigwarp,21.0,18.0
66,napari-bil-data-viewer,20.0,26.0
67,napari-bio-sample-data,32.0,32.0
68,napari-bioformats,36.0,100.0
69,napari-bioimageio,15.0,27.0
70,napari-bleach-correct,,24.0
71,napari-blob-detection,73.0,58.0
72,napari-blossom,20.0,24.0
73,napari-boids,,10.0
74,napari-boxmanager,,221.0
75,napari-brightness-contrast,120.0,116.0
76,napari-brushsettings,22.0,18.0
77,napari-btrack-reader,16.0,23.0
78,napari-bud-cell-segmenter,,134.0
79,napari-buds,,152.0
80,napari-calibration,,50.0
81,napari-ccp4map,17.0,20.0
82,napari-cellseg3d,56.0,78.0
83,napari-checkerboard,,25.0
84,napari-cilia-beating-frequency,,19.0
85,napari-clemreg,,14.0
86,napari-clusters-plotter,179.0,83.0
87,napari-compressed-labels-io,23.0,19.0
88,napari-conidie,,
89,napari-console,1884.0,20441.0
90,napari-cookiecut,,29.0
91,napari-crop,95.0,106.0
92,napari-cryofibsem-monitor,74.0,89.0
93,napari-cupy-image-processing,134.0,110.0
94,napari-curtain,78.0,39.0
95,napari-czann-segment,80.0,52.0
96,napari-czifile2,131.0,76.0
97,napari-deepfinder,,20.0
98,napari-deeplabcut,156.0,1194.0
99,napari-deepmeta,23.0,39.0
100,napari-denoiseg,,119.0
101,napari-dexp,47.0,20.0
102,napari-dv,17.0,40.0
103,napari-dvid,22.0,18.0
104,napari-dzi-zarr,18.0,14.0
105,napari-elementary-numpy-operations,17.0,29.0
106,napari-em-reader,16.0,22.0
107,napari-error-reporter,37.0,23.0
108,napari-feature-classifier,17.0,19.0
109,napari-features,15.0,29.0
110,napari-filament-annotator,,39.0
111,napari-filaments,35.0,35.0
112,napari-folder-browser,74.0,55.0
113,napari-generic-SIMulator,85.0,32.0
114,napari-geojson,19.0,119.0
115,napari-gruvbox,,
116,napari-hdf5-labels-io,13.0,50.0
117,napari-help,21.0,22.0
118,napari-image-stacker,36.0,37.0
119,napari-imaris-loader,65.0,61.0
120,napari-imc,57.0,90.0
121,napari-imsmicrolink,46.0,113.0
122,napari-input-visualizer,,24.0
123,napari-itk-io,36.0,56.0
124,napari-kics,18.0,32.0
125,napari-label-interpolator,,33.0
126,napari-labelimg4classification,14.0,21.0
127,napari-labeling,16.0,31.0
128,napari-labelling-assistant,18.0,28.0
129,napari-labels-overlap,30.0,26.0
130,napari-lattice,,194.0
131,napari-layer-details-display,109.0,64.0
132,napari-layer-table,83.0,55.0
133,napari-lazy-openslide,30.0,63.0
134,napari-live-flim,,83.0
135,napari-live-recording,43.0,45.0
136,napari-manual-transforms,19.0,30.0
137,napari-mat-file-reader,,95.0
138,napari-mat-images,15.0,27.0
139,napari-math,40.0,33.0
140,napari-matplotlib,52.0,487.0
141,napari-medical-image-formats,21.0,64.0
142,napari-merge-stardist-masks,,92.0
143,napari-metroid,17.0,27.0
144,napari-micromanager,40.0,32.0
145,napari-microscope,18.0,17.0
146,napari-mm3,,40.0
147,napari-molecule-reader,30.0,23.0
148,napari-mouse-controls,77.0,69.0
149,napari-mrcfile-handler,17.0,39.0
150,napari-mrcfile-reader,16.0,32.0
151,napari-mri,19.0,18.0
152,napari-multitask,18.0,19.0
153,napari-n2v,,123.0
